SYMBOL,MANUFACTURER/MODEL
,K-Rain 78004 15 Strip Series
,K-Rain 78004 8 Series
,K-Rain 78004 10 Series
,K-Rain 78004 12 Series
,K-Rain 78004 15 Series
,K-Rain 78004 Adj Series
,K-Rain 78012 15 Strip Series
,K-Rain 78012 8 Series
,K-Rain 78012 10 Series
,K-Rain 78012 12 Series
,K-Rain 78012 15 Series
,K-Rain 78012 Adj Series
,K-Rain RN Adjustable PROS-04 
,K-Rain RN Fixed PROS-04 
,K-Rain RN Fixed PROS-04 
,K-Rain RN Fixed PROS-04 
,K-Rain RN Special Pattern PROS-04 
,K-Rain RN Special Pattern PROS-04 
,Rain Bird 1804-1400 Flood 1401
SYMBOL,MANUFACTURER/MODEL
,K-Rain 60003 1.0
,K-Rain 60003 2.0
,K-Rain 60003 3.0
,K-Rain 60003 4.0
SYMBOL,MANUFACTURER/MODEL
,"K-Rain 7101-SL 1"""
,"Rain Bird 44-RC 1"""
,NIBCO T-113 ISOLATION GATE VALVE MAINLINE SIZE 
,"Rain Bird PEB master valve 1"""
,"Rain Bird PEB master valve 1-1/2"""
,"Rain Bird PEB master valve 2"""
,"Febco 825Y 1"""
,"Febco 825Y 1-1/2"""
,"Febco 825Y 1-1/4"""
,"Febco 825Y 2"""
,"Febco 825Y 3/4"""
,K-Rain 3202-P CONTROLLER 
,Rain Bird ESP-LXD TWO WIRE CONTROLLER 
,K-Rain 3208-WRFS 
,Rain Bird WR2-RFC 
,Cap for future use 
,WYE STRAINER 
,"Water Meter 1"" "
,Irrigation Lateral Line: PVC Class 200 SDR 21 
,"Irrigation Lateral Line: PVC Class 200 SDR 21 1/2"""
,"Irrigation Lateral Line: PVC Class 200 SDR 21 3/4"""
,"Irrigation Lateral Line: PVC Class 200 SDR 21 1"""
,"Irrigation Lateral Line: PVC Class 200 SDR 21 1 1/4"""
,"Irrigation Lateral Line: PVC Class 200 SDR 21 1 1/2"""
,"Irrigation Lateral Line: PVC Class 200 SDR 21 2"""
,"Irrigation Lateral Line: PVC Class 200 SDR 21 2 1/2"""
,"Irrigation Lateral Line: PVC Class 200 SDR 21 3"""
,"Irrigation Lateral Line: PVC Class 200 SDR 21 4"""
,"Irrigation Lateral Line: PVC Class 200 SDR 21 5"""
,"Irrigation Lateral Line: PVC Class 200 SDR 21 6"""
,"Irrigation Lateral Line: PVC Class 200 SDR 21 8"""
,"Irrigation Lateral Line: PVC Class 200 SDR 21 10"""
,"Irrigation Lateral Line: PVC Class 200 SDR 21 12"""
,"Irrigation Lateral Line: PVC Class 200 SDR 21 14"""
,"Irrigation Lateral Line: PVC Class 200 SDR 21 16"""
,"Irrigation Lateral Line: PVC Class 200 SDR 21 18"""
,Irrigation Mainline: PVC Class 200 SDR 21 
,"Irrigation Mainline: PVC Class 200 SDR 21 1/2"""
,"Irrigation Mainline: PVC Class 200 SDR 21 3/4"""
,"Irrigation Mainline: PVC Class 200 SDR 21 1"""
,"Irrigation Mainline: PVC Class 200 SDR 21 1 1/4"""
,"Irrigation Mainline: PVC Class 200 SDR 21 1 1/2"""
,"Irrigation Mainline: PVC Class 200 SDR 21 2"""
,"Irrigation Mainline: PVC Class 200 SDR 21 2 1/2"""
,"Irrigation Mainline: PVC Class 200 SDR 21 3"""
,"Irrigation Mainline: PVC Class 200 SDR 21 4"""
,"Irrigation Mainline: PVC Class 200 SDR 21 5"""
,"Irrigation Mainline: PVC Class 200 SDR 21 6"""
,"Irrigation Mainline: PVC Class 200 SDR 21 8"""
,"Irrigation Mainline: PVC Class 200 SDR 21 10"""
,"Irrigation Mainline: PVC Class 200 SDR 21 12"""
,"Irrigation Mainline: PVC Class 200 SDR 21 14"""
,"Irrigation Mainline: PVC Class 200 SDR 21 16"""
,"Irrigation Mainline: PVC Class 200 SDR 21 18"""
,Pipe Sleeve: PVC Schedule 40 
,"Pipe Sleeve: PVC Schedule 40 1/2"""
,"Pipe Sleeve: PVC Schedule 40 3/4"""
,"Pipe Sleeve: PVC Schedule 40 1"""
,"Pipe Sleeve: PVC Schedule 40 1 1/4"""
,"Pipe Sleeve: PVC Schedule 40 1 1/2"""
,"Pipe Sleeve: PVC Schedule 40 2"""
,"Pipe Sleeve: PVC Schedule 40 2 1/2"""
,"Pipe Sleeve: PVC Schedule 40 3"""
,"Pipe Sleeve: PVC Schedule 40 4"""
,"Pipe Sleeve: PVC Schedule 40 5"""
,"Pipe Sleeve: PVC Schedule 40 6"""
,"Pipe Sleeve: PVC Schedule 40 8"""
,"Pipe Sleeve: PVC Schedule 40 10"""
,"Pipe Sleeve: PVC Schedule 40 12"""
,"Pipe Sleeve: PVC Schedule 40 14"""
,"Pipe Sleeve: PVC Schedule 40 16"""
