SYMBOL,MANUFACTURER/MODEL
,Hunter MP815 PROS-04-PRS40-CV 
,Weathermatic MAX4 W/ Hunter MP Strip NOZZLE 
,Weathermatic MAX4 W/ Hunter MP1000 NOZZLE 
,Weathermatic MAX4 W/ Hunter MP2000 NOZZLE 
,Weathermatic MAX4 W/ Hunter MP3000 NOZZLE 
,Weathermatic MAX4 W/ Hunter MP800SR NOZZLE 
,Hunter PCB 10
SYMBOL,MANUFACTURER/MODEL
,"Weathermatic SCZ-MAX-DW-10-45 1"""
,Hunter PLD-BV FLUSH VALVE 
,"Hunter PLD-AVR AIR RELIEF VALVE 3/4"""
,Hunter HDL-09-12-18-CV 
SYMBOL,MANUFACTURER/MODEL
,"Weathermatic MAX-DW 1"""
,"Weathermatic MAX-DW 1-1/2"""
,"Weathermatic MAX-DW 2"""
,"Hunter HQ-44RC 1"""
,"Nibco T-113 1 1/2"" "
,"Weathermatic 8200CR MASTER VALVE 1"""
,"Weathermatic 8200CR MASTER VALVE 1-1/2"""
,"Weathermatic 8200CR MASTER VALVE 1-1/4"""
,"Weathermatic 8200CR MASTER VALVE 2"""
,"Weathermatic 8200CR MASTER VALVE 2-1/2"""
,"Weathermatic 8200CR MASTER VALVE 3"""
,"Febco 765 1"""
,"Febco 765 1-1/2"""
,"Febco 765 1-1/4"""
,"Febco 765 1/2"""
,"Febco 765 2"""
,"Febco 765 3/4"""
,Weathermatic SL9696TW 
,Weathermatic RFS5 
,Weathermatic SLDEC1 DECODER 
,DATA INDUSTRIAL-IR220-P FLOW SENSOR 
,Cap for future use 
,wye strainer 
,"Water Meter 1"" "
,Irrigation Lateral Line: PVC Schedule 40 
,"Irrigation Lateral Line: PVC Schedule 40 1/2"""
,"Irrigation Lateral Line: PVC Schedule 40 3/4"""
,"Irrigation Lateral Line: PVC Schedule 40 1"""
,"Irrigation Lateral Line: PVC Schedule 40 1 1/4"""
,"Irrigation Lateral Line: PVC Schedule 40 1 1/2"""
,"Irrigation Lateral Line: PVC Schedule 40 2"""
,"Irrigation Lateral Line: PVC Schedule 40 2 1/2"""
,"Irrigation Lateral Line: PVC Schedule 40 3"""
,"Irrigation Lateral Line: PVC Schedule 40 4"""
,"Irrigation Lateral Line: PVC Schedule 40 5"""
,"Irrigation Lateral Line: PVC Schedule 40 6"""
,"Irrigation Lateral Line: PVC Schedule 40 8"""
,"Irrigation Lateral Line: PVC Schedule 40 10"""
,"Irrigation Lateral Line: PVC Schedule 40 12"""
,"Irrigation Lateral Line: PVC Schedule 40 14"""
,"Irrigation Lateral Line: PVC Schedule 40 16"""
,Irrigation Mainline: PVC Schedule 40 
,"Irrigation Mainline: PVC Schedule 40 1/2"""
,"Irrigation Mainline: PVC Schedule 40 3/4"""
,"Irrigation Mainline: PVC Schedule 40 1"""
,"Irrigation Mainline: PVC Schedule 40 1 1/4"""
,"Irrigation Mainline: PVC Schedule 40 1 1/2"""
,"Irrigation Mainline: PVC Schedule 40 2"""
,"Irrigation Mainline: PVC Schedule 40 2 1/2"""
,"Irrigation Mainline: PVC Schedule 40 3"""
,"Irrigation Mainline: PVC Schedule 40 4"""
,"Irrigation Mainline: PVC Schedule 40 5"""
,"Irrigation Mainline: PVC Schedule 40 6"""
,"Irrigation Mainline: PVC Schedule 40 8"""
,"Irrigation Mainline: PVC Schedule 40 10"""
,"Irrigation Mainline: PVC Schedule 40 12"""
,"Irrigation Mainline: PVC Schedule 40 14"""
,"Irrigation Mainline: PVC Schedule 40 16"""
,Pipe Sleeve: PVC Schedule 40 
,"Pipe Sleeve: PVC Schedule 40 1/2"""
,"Pipe Sleeve: PVC Schedule 40 3/4"""
,"Pipe Sleeve: PVC Schedule 40 1"""
,"Pipe Sleeve: PVC Schedule 40 1 1/4"""
,"Pipe Sleeve: PVC Schedule 40 1 1/2"""
,"Pipe Sleeve: PVC Schedule 40 2"""
,"Pipe Sleeve: PVC Schedule 40 2 1/2"""
,"Pipe Sleeve: PVC Schedule 40 3"""
,"Pipe Sleeve: PVC Schedule 40 4"""
,"Pipe Sleeve: PVC Schedule 40 5"""
,"Pipe Sleeve: PVC Schedule 40 6"""
,"Pipe Sleeve: PVC Schedule 40 8"""
,"Pipe Sleeve: PVC Schedule 40 10"""
,"Pipe Sleeve: PVC Schedule 40 12"""
,"Pipe Sleeve: PVC Schedule 40 14"""
,"Pipe Sleeve: PVC Schedule 40 16"""
